MEMBER_KEY,MEMBER_NAME_x,YEAR,YEARLY_SPEND,TARGET_SPEND,MEMBER_NAME_y,BUSINESS_TYPE,POSTCODE_AREA,SECTOR_1,SECTOR_2,SIC_CODES,TRADE_COUNTER,WEB_PRESENCE
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2017,261877.68,,JBS Group Bristol,Member,BS,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2017,261877.68,,JBS Group (Belfast),Member,BT,PPE Specialist,PPE Specialist,70229|62012|58290,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2017,261877.68,,JBS Group (Dublin) Santry,Member,D,,PPE Specialist,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2017,261877.68,,JBS Group (Liverpool),Member,L,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2017,261877.68,,JBS Group (Leicester),Member,LE,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2017,261877.68,,JBS Group (Port Glasgow),Member,PA,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2017,261877.68,,JBS GROUP (SHEFFIELD)  ASP,Member,S,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2017,261877.68,,JBS Group (Cork),Member,T,,PPE Specialist,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2018,89650.95,,JBS Group (Aberdeen),Member,AB,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2018,89650.95,,JBS Group Bristol,Member,BS,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2018,89650.95,,JBS Group (Belfast),Member,BT,PPE Specialist,PPE Specialist,70229|62012|58290,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2018,89650.95,,JBS Group (Dublin) Santry,Member,D,,PPE Specialist,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2018,89650.95,,JBS Group (Liverpool),Member,L,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2018,89650.95,,JBS Group (Leicester),Member,LE,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2018,89650.95,,JBS Group (Port Glasgow),Member,PA,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2018,89650.95,,JBS GROUP (SHEFFIELD)  ASP,Member,S,,,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2018,89650.95,,JBS Group (Cork),Member,T,,PPE Specialist,,False,True
0da2eb122ab939a200abf01e9b203194,JBS Group NI (Derry) Londonderry,2016,247971.33000000002,,JBS Group (Aberdeen),Member,AB,,,,False,True
